소규모학교_KEDI,소규모학교명,소규모학교_행정구,소규모학교_학생수_20251001,후보학교_KEDI,후보학교명,후보학교_행정구,후보학교_학생수_20251001,후보학교_학급당학생수_20251001,후보학교_소규모여부_정책2026,학교간직선거리_km,후보생성기준,거리순위_3km내
215021199,대사초등학교,강서구,10,215021217,대저초등학교,강서구,29,4.833333333333333,True,1.599811,학교점 간 직선거리 3km 이하,1
215021208,대상초등학교,강서구,30,215021136,구남초등학교,북구,410,18.636363636363637,False,1.956277,학교점 간 직선거리 3km 이하,1
215021208,대상초등학교,강서구,30,215021145,구포초등학교,북구,545,17.580645161290324,False,2.251327,학교점 간 직선거리 3km 이하,2
215021208,대상초등학교,강서구,30,215021217,대저초등학교,강서구,29,4.833333333333333,True,2.282718,학교점 간 직선거리 3km 이하,3
215021208,대상초등학교,강서구,30,215021280,덕천초등학교,북구,81,11.571428571428571,True,2.496968,학교점 간 직선거리 3km 이하,4
215021208,대상초등학교,강서구,30,215021271,덕성초등학교,북구,327,17.210526315789473,False,2.528444,학교점 간 직선거리 3km 이하,5
215021208,대상초등학교,강서구,30,215021352,모라초등학교,사상구,121,12.1,True,2.730564,학교점 간 직선거리 3km 이하,6
215021208,대상초등학교,강서구,30,215021879,화정초등학교,북구,699,21.84375,False,2.739757,학교점 간 직선거리 3km 이하,7
215021208,대상초등학교,강서구,30,215021465,신천초등학교,북구,161,13.416666666666666,True,2.999112,학교점 간 직선거리 3km 이하,8
215021217,대저초등학교,강서구,29,215021199,대사초등학교,강서구,10,1.4285714285714286,True,1.599811,학교점 간 직선거리 3km 이하,1
215021217,대저초등학교,강서구,29,215021208,대상초등학교,강서구,30,4.285714285714286,True,2.282718,학교점 간 직선거리 3km 이하,2
215021253,덕두초등학교,강서구,201,215021415,삼덕초등학교,사상구,104,13.0,True,2.073414,학교점 간 직선거리 3km 이하,1
215021253,덕두초등학교,강서구,201,215021519,창진초등학교,사상구,413,20.65,False,2.261005,학교점 간 직선거리 3km 이하,2
215021253,덕두초등학교,강서구,201,215021397,사상초등학교,사상구,333,17.526315789473685,False,2.61509,학교점 간 직선거리 3km 이하,3
215021253,덕두초등학교,강서구,201,215021289,덕포초등학교,사상구,134,13.4,True,2.754886,학교점 간 직선거리 3km 이하,4
215021253,덕두초등학교,강서구,201,215021370,배영초등학교,강서구,39,5.571428571428571,True,2.983114,학교점 간 직선거리 3km 이하,5
215021370,배영초등학교,강서구,39,215021828,대저중앙초등학교,강서구,842,22.756756756756758,False,2.790024,학교점 간 직선거리 3km 이하,1
215021370,배영초등학교,강서구,39,215021253,덕두초등학교,강서구,201,15.461538461538462,True,2.983114,학교점 간 직선거리 3km 이하,2
214021185,금샘초등학교,금정구,151,214021505,청룡초등학교,금정구,389,18.523809523809526,False,0.827062,학교점 간 직선거리 3km 이하,1
214021185,금샘초등학교,금정구,151,214021208,남산초등학교,금정구,358,19.88888888888889,False,0.906501,학교점 간 직선거리 3km 이하,2
214021185,금샘초등학교,금정구,151,214021401,구서초등학교,금정구,467,20.304347826086957,False,1.675404,학교점 간 직선거리 3km 이하,3
214021185,금샘초등학교,금정구,151,214021543,두실초등학교,금정구,759,23.71875,False,1.834892,학교점 간 직선거리 3km 이하,4
214021185,금샘초등학교,금정구,151,214021478,장서초등학교,금정구,571,21.96153846153846,False,2.336336,학교점 간 직선거리 3km 이하,5
214021181,금성초등학교,금정구,43,214021487,장전초등학교,금정구,428,19.454545454545453,False,2.529966,학교점 간 직선거리 3km 이하,1
214021181,금성초등학교,금정구,43,214021478,장서초등학교,금정구,571,21.96153846153846,False,2.576479,학교점 간 직선거리 3km 이하,2
214021181,금성초등학교,금정구,43,214021401,구서초등학교,금정구,467,20.304347826086957,False,2.739159,학교점 간 직선거리 3km 이하,3
214021181,금성초등학교,금정구,43,214021543,두실초등학교,금정구,759,23.71875,False,2.929592,학교점 간 직선거리 3km 이하,4
214021253,동상초등학교,금정구,100,214021271,명동초등학교,동래구,454,19.73913043478261,False,0.417023,학교점 간 직선거리 3km 이하,1
214021253,동상초등학교,금정구,100,214021289,명서초등학교,동래구,94,13.428571428571429,True,0.559899,학교점 간 직선거리 3km 이하,2
214021253,동상초등학교,금정구,100,216021569,삼어초등학교,해운대구,272,17.0,False,0.861124,학교점 간 직선거리 3km 이하,3
