학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
215021109,가락초등학교,강서구,공립,특별/광역시,부산광역시 강서구 호계로 41(죽림동.가락초등학교),19,7,19,2.7,1.0,240,True,True,True,7.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,19.0,7.0,20250401,19,7,13271,698.5,9,0,8,0,0,17,2.111111111111111,1.1176470588235294,2.7142857142857144,1.0
215021878,남명초등학교,강서구,공립,특별/광역시,부산광역시 강서구 명지오션시티11로 132(명지동. 남명초등학교),745,33,48,22.6,15.5,240,False,True,False,111.0,5.0,106.0,5.0,128.0,6.0,161.0,6.0,138.0,6.0,115.0,5.0,759.0,33.0,20250401,759,33,12300,16.2,34,0,2,0,0,36,22.323529411764707,21.083333333333332,22.575757575757574,15.520833333333334
215021181,녹명초등학교,강서구,공립,특별/광역시,부산광역시 강서구 낙동남로 617(녹산동. 녹명초등학교),99,7,13,14.1,7.6,240,True,True,True,13.0,1.0,18.0,1.0,13.0,1.0,20.0,1.0,12.0,1.0,24.0,2.0,100.0,7.0,20250401,100,7,11427,114.3,7,2,1,0,3,13,14.285714285714286,7.6923076923076925,14.142857142857142,7.615384615384615
215021131,녹산초등학교,강서구,공립,특별/광역시,부산광역시 강서구 과학산단2로20번길 55. 녹산초등학교 (지사동),1059,50,70,21.2,15.1,240,False,True,False,161.0,9.0,171.0,8.0,185.0,9.0,187.0,8.0,185.0,8.0,194.0,8.0,1083.0,50.0,20250401,1083,50,17120,15.8,51,0,1,0,0,52,21.235294117647058,20.826923076923077,21.18,15.128571428571428
215021199,대사초등학교,강서구,공립,특별/광역시,부산광역시 강서구 낙동북로73번길 29(강동동),10,7,13,1.4,0.8,240,True,True,True,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,13.0,7.0,20250401,13,7,9049,696.1,7,1,5,0,5,18,1.8571428571428572,0.7222222222222222,1.4285714285714286,0.7692307692307693
215021208,대상초등학교,강서구,공립,특별/광역시,부산광역시 강서구 대저로 249(대저1동),30,7,13,4.3,2.3,240,True,True,True,8.0,2.0,8.0,1.0,2.0,1.0,8.0,1.0,4.0,1.0,2.0,1.0,32.0,7.0,20250401,32,7,17839,557.5,7,3,4,0,1,15,4.571428571428571,2.1333333333333333,4.285714285714286,2.3076923076923075
215021828,대저중앙초등학교,강서구,공립,특별/광역시,부산광역시 강서구 에코델타2로 23(강동동),842,37,47,22.8,17.9,240,False,True,False,105.0,7.0,63.0,6.0,60.0,5.0,56.0,4.0,47.0,4.0,38.0,4.0,369.0,30.0,20250401,369,30,6819,18.5,49,9,1,0,0,59,7.530612244897959,6.254237288135593,22.756756756756758,17.914893617021278
215021217,대저초등학교,강서구,공립,특별/광역시,부산광역시 강서구 대저로29번길 27. 대저초등학교 (대저1동. 대저초등학교),29,6,12,4.8,2.4,240,True,True,True,,,7.0,1.0,7.0,2.0,4.0,1.0,4.0,1.0,9.0,1.0,31.0,6.0,20250401,31,6,20991,677.1,6,2,8,0,1,17,5.166666666666667,1.8235294117647058,4.833333333333333,2.4166666666666665
215021253,덕두초등학교,강서구,공립,특별/광역시,부산광역시 강서구 공항로791번길 68(대저2동.덕두초등학교),201,13,24,15.5,8.4,240,True,True,True,38.0,2.0,33.0,2.0,36.0,2.0,33.0,2.0,33.0,3.0,33.0,2.0,206.0,13.0,20250401,206,13,13720,66.6,13,0,4,0,5,22,15.846153846153847,9.363636363636363,15.461538461538462,8.375
215021853,명문초등학교,강서구,공립,특별/광역시,부산광역시 강서구 명지국제8로 195. 명문초등학교 (명지동),1128,47,64,24.0,17.6,240,False,True,False,202.0,8.0,241.0,10.0,230.0,10.0,196.0,8.0,154.0,6.0,121.0,5.0,1144.0,47.0,20250401,1144,47,16107,14.1,47,0,5,0,2,54,24.340425531914892,21.185185185185187,24.0,17.625
