소규모학교_KEDI,소규모학교명,소규모학교_행정구,후보학교수_3km내,후보존재
214021379,안락초등학교,동래구,43,True
214021226,내성초등학교,동래구,42,True
214021474,연일초등학교,연제구,39,True
214021289,명서초등학교,동래구,38,True
214021361,수안초등학교,동래구,38,True
214021514,충렬초등학교,동래구,38,True
214021253,동상초등학교,금정구,35,True
214021217,내산초등학교,동래구,33,True
214021264,동명초등학교,연제구,33,True
214021352,서명초등학교,금정구,33,True
213021106,가남초등학교,부산진구,32,True
214021024,서동초등학교,금정구,31,True
213021196,당감초등학교,부산진구,30,True
213021394,선암초등학교,부산진구,29,True
213021202,당평초등학교,부산진구,27,True
213021148,개포초등학교,부산진구,25,True
213021283,범일초등학교,동구,24,True
212021404,아미초등학교,서구,24,True
216021238,반석초등학교,해운대구,23,True
212021372,승학초등학교,사하구,23,True
212021287,광일초등학교,중구,22,True
216021256,반여초등학교,해운대구,22,True
213021406,성서초등학교,부산진구,22,True
214021532,현곡초등학교,금정구,22,True
213021154,개화초등학교,부산진구,21,True
215021280,덕천초등학교,북구,21,True
215021478,양덕초등학교,북구,21,True
212021156,남부민초등학교,서구,20,True
212021220,대평초등학교,영도구,20,True
212021332,서천초등학교,사하구,20,True
212021412,영도초등학교,영도구,20,True
212021196,당리초등학교,사하구,19,True
213021551,동양초등학교,부산진구,19,True
212021286,보수초등학교,중구,19,True
212021288,봉래초등학교,중구,19,True
212021308,사동초등학교,사하구,19,True
213021213,성천초등학교,남구,19,True
215021465,신천초등학교,북구,19,True
212021388,신촌초등학교,사하구,19,True
215021487,양천초등학교,북구,19,True
212021556,화랑초등학교,서구,19,True
212021116,감천초등학교,사하구,18,True
215021462,신덕초등학교,북구,18,True
212021484,천마초등학교,서구,18,True
213021058,초량초등학교,동구,18,True
213021335,수성초등학교,동구,17,True
215021118,감전초등학교,사상구,16,True
212021111,남항초등학교,영도구,16,True
213021089,백운초등학교,남구,16,True
213021380,용당초등학교,남구,16,True
215021514,주학초등학교,사상구,16,True
215021343,모동초등학교,사상구,15,True
215021352,모라초등학교,사상구,15,True
212021284,봉학초등학교,영도구,15,True
212021192,다송초등학교,사하구,13,True
215021433,서감초등학교,사상구,13,True
212021500,청학초등학교,영도구,13,True
215021235,대천리초등학교,북구,12,True
215021289,덕포초등학교,사상구,12,True
213021190,동항초등학교,남구,12,True
212021280,봉삼초등학교,영도구,12,True
212021324,상리초등학교,영도구,12,True
212021456,절영초등학교,영도구,12,True
215021541,학장초등학교,사상구,12,True
215021415,삼덕초등학교,사상구,11,True
215021208,대상초등학교,강서구,8,True
216021244,반송초등학교,해운대구,6,True
212021432,응봉초등학교,사하구,6,True
212021524,태종대초등학교,영도구,6,True
214021185,금샘초등학교,금정구,5,True
215021172,금창초등학교,북구,5,True
215021253,덕두초등학교,강서구,5,True
216021364,운송초등학교,해운대구,5,True
214021181,금성초등학교,금정구,4,True
216021292,송정초등학교,해운대구,4,True
216021172,용암초등학교,기장군,4,True
216021352,운봉초등학교,해운대구,4,True
216021496,죽성초등학교,기장군,3,True
215021217,대저초등학교,강서구,2,True
215021370,배영초등학교,강서구,2,True
215021199,대사초등학교,강서구,1,True
216021484,좌천초등학교,기장군,1,True
216021520,칠암초등학교,기장군,1,True
215021109,가락초등학교,강서구,0,False
214021127,공덕초등학교,금정구,0,False
215021181,녹명초등학교,강서구,0,False
216021388,월평초등학교,기장군,0,False
216021424,장안초등학교,기장군,0,False
215021523,천가초등학교,강서구,0,False
216021508,철마초등학교,기장군,0,False
