학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,일반학생수_20250401_1학년,일반학급수_20250401_1학년,특수학생수_20250401_1학년,특수학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,일반학생수_20250401_2학년,일반학급수_20250401_2학년,특수학생수_20250401_2학년,특수학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,일반학생수_20250401_3학년,일반학급수_20250401_3학년,특수학생수_20250401_3학년,특수학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,일반학생수_20250401_4학년,일반학급수_20250401_4학년,특수학생수_20250401_4학년,특수학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,일반학생수_20250401_5학년,일반학급수_20250401_5학년,특수학생수_20250401_5학년,특수학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,일반학생수_20250401_6학년,일반학급수_20250401_6학년,특수학생수_20250401_6학년,특수학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,일반학생수_20250401_반합계,일반학급수_20250401_반합계,특수학생수_20250401_반합계,특수학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
215021109,가락초등학교,강서구,공립,특별/광역시,부산광역시 강서구 호계로 41(죽림동.가락초등학교),19,7,19,2.7,1.0,240,True,True,True,7.0,1.0,7.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,19.0,7.0,17.0,6.0,2.0,1.0,20250401,19,7,13271,698.5,9,0,8,0,0,17,2.111111111111111,1.1176470588235294,2.7142857142857144,1.0
215021181,녹명초등학교,강서구,공립,특별/광역시,부산광역시 강서구 낙동남로 617(녹산동. 녹명초등학교),99,7,13,14.1,7.6,240,True,True,True,13.0,1.0,13.0,1.0,0.0,0.0,18.0,1.0,18.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,24.0,2.0,18.0,1.0,6.0,1.0,100.0,7.0,94.0,6.0,6.0,1.0,20250401,100,7,11427,114.3,7,2,1,0,3,13,14.285714285714286,7.6923076923076925,14.142857142857142,7.615384615384615
215021199,대사초등학교,강서구,공립,특별/광역시,부산광역시 강서구 낙동북로73번길 29(강동동),10,7,13,1.4,0.8,240,True,True,True,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,13.0,7.0,12.0,6.0,1.0,1.0,20250401,13,7,9049,696.1,7,1,5,0,5,18,1.8571428571428572,0.7222222222222222,1.4285714285714286,0.7692307692307693
215021208,대상초등학교,강서구,공립,특별/광역시,부산광역시 강서구 대저로 249(대저1동),30,7,13,4.3,2.3,240,True,True,True,8.0,2.0,4.0,1.0,4.0,1.0,8.0,1.0,8.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,8.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,32.0,7.0,28.0,6.0,4.0,1.0,20250401,32,7,17839,557.5,7,3,4,0,1,15,4.571428571428571,2.1333333333333333,4.285714285714286,2.3076923076923075
215021217,대저초등학교,강서구,공립,특별/광역시,부산광역시 강서구 대저로29번길 27. 대저초등학교 (대저1동. 대저초등학교),29,6,12,4.8,2.4,240,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,7.0,2.0,5.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,9.0,1.0,9.0,1.0,0.0,0.0,31.0,6.0,29.0,5.0,2.0,1.0,20250401,31,6,20991,677.1,6,2,8,0,1,17,5.166666666666667,1.8235294117647058,4.833333333333333,2.4166666666666665
215021253,덕두초등학교,강서구,공립,특별/광역시,부산광역시 강서구 공항로791번길 68(대저2동.덕두초등학교),201,13,24,15.5,8.4,240,True,True,True,38.0,2.0,38.0,2.0,0.0,0.0,33.0,2.0,33.0,2.0,0.0,0.0,36.0,2.0,36.0,2.0,0.0,0.0,33.0,2.0,33.0,2.0,0.0,0.0,33.0,3.0,31.0,2.0,2.0,1.0,33.0,2.0,33.0,2.0,0.0,0.0,206.0,13.0,204.0,12.0,2.0,1.0,20250401,206,13,13720,66.6,13,0,4,0,5,22,15.846153846153847,9.363636363636363,15.461538461538462,8.375
215021370,배영초등학교,강서구,공립,특별/광역시,부산광역시 강서구 공항로339번길 260. 배영초등학교 (대저2동),39,7,13,5.6,3.0,240,True,True,True,1.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,37.0,7.0,32.0,6.0,5.0,1.0,20250401,37,7,5609,151.6,7,1,2,0,0,10,5.285714285714286,3.7,5.571428571428571,3.0
215021523,천가초등학교,강서구,공립,특별/광역시,부산광역시 강서구 동선길 135(성북동),60,7,14,8.6,4.3,240,True,True,True,7.0,1.0,7.0,1.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,18.0,2.0,12.0,1.0,6.0,1.0,64.0,7.0,58.0,6.0,6.0,1.0,20250401,64,7,9233,144.3,7,0,4,0,1,12,9.142857142857142,5.333333333333333,8.571428571428571,4.285714285714286
214021127,공덕초등학교,금정구,공립,특별/광역시,부산광역시 금정구 대두로 2(두구동.공덕초등학교),42,7,15,6.0,2.8,240,True,True,True,4.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,45.0,7.0,44.0,6.0,1.0,1.0,20250401,45,7,8404,186.8,8,1,2,0,0,11,5.625,4.090909090909091,6.0,2.8
214021185,금샘초등학교,금정구,공립,특별/광역시,부산광역시 금정구 금샘로 525(남산동. 금샘초등학교),151,11,19,13.7,7.9,240,True,True,True,16.0,1.0,16.0,1.0,0.0,0.0,26.0,2.0,20.0,1.0,6.0,1.0,31.0,3.0,25.0,2.0,6.0,1.0,30.0,2.0,30.0,2.0,0.0,0.0,21.0,1.0,21.0,1.0,0.0,0.0,27.0,2.0,27.0,2.0,0.0,0.0,151.0,11.0,139.0,9.0,12.0,2.0,20250401,151,11,13569,89.9,15,2,11,5,8,41,10.066666666666666,3.682926829268293,13.727272727272727,7.947368421052632
