모델,row_id,실제교원,예측교원,학교코드(KEDI),학교명_20251001,행정구_20251001,주분석대상_소규모공립_정책2026,학급수_20251001,학생수_20251001,특수학급수_20250401_반합계,잔차_실제-예측,절대오차
학급수 선형,245,79.0,86.84742085893647,214021517,창신초등학교,연제구,False,62,1621,2.0,-7.847420858936474,7.847420858936474
학급수 선형,6,47.0,53.45465281425753,215021828,대저중앙초등학교,강서구,False,37,842,1.0,-6.454652814257528,6.454652814257528
학급수 선형,27,71.0,76.20179608175881,214021190,금정초등학교,금정구,False,54,1298,2.0,-5.201796081758815,5.201796081758815
학급수 선형,266,31.0,36.12283039325929,216021200,무정초등학교,해운대구,False,24,504,1.0,-5.122830393259292,5.122830393259292
학급수 선형,151,55.0,60.06079576471846,215021388,백양초등학교,북구,False,42,906,2.0,-5.060795764718463,5.060795764718463
학급수 선형,23,21.0,25.521980009941075,214021172,금사초등학교,금정구,False,16,268,2.0,-4.521980009941075,4.521980009941075
학급수 선형,214,41.0,45.49175943097651,212021212,대신초등학교,서구,False,31,732,1.0,-4.491759430976508,4.491759430976508
학급수 선형,209,37.0,41.48679141726269,212021540,하남초등학교,사하구,False,28,577,2.0,-4.486791417262687,4.486791417262687
학급수 선형,39,64.0,58.703629019495224,216021131,가동초등학교,기장군,False,41,918,2.0,5.296370980504776,5.296370980504776
학급수 선형,55,68.0,62.65317875391163,216021717,정원초등학교,기장군,False,44,1000,2.0,5.346821246088368,5.346821246088368
학급수 선형,0,19.0,13.493871111825902,215021109,가락초등학교,강서구,True,7,19,1.0,5.506128888174098,5.506128888174098
학급수 선형,274,51.0,45.41806317780669,216021272,상당초등학교,해운대구,False,31,739,1.0,5.581936822193313,5.581936822193313
학급수 선형,133,84.0,78.39658918557137,213021478,연지초등학교,부산진구,False,56,1286,2.0,5.603410814428628,5.603410814428628
학급수 선형,40,44.0,37.452977831012575,216021216,교리초등학교,기장군,False,25,529,1.0,6.547022168987425,6.547022168987425
학급수 선형,52,68.0,61.26239980610323,216021367,일광초등학교,기장군,False,43,1023,1.0,6.737600193896768,6.737600193896768
학급수 선형,211,48.0,38.7469474081248,212021564,효림초등학교,사하구,False,26,510,2.0,9.253052591875203,9.253052591875203
